                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.5041,                 2.0349,                 1.5542,                0.29408,                0.40662,                0.31577,                0.19471,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     21,                 1.4666,                  1.997,                  1.513,                0.34833,                0.40768,                0.31532,                0.19379,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     22,                  1.471,                 1.9817,                 1.5135,                0.39248,                0.37189,                0.34701,                0.20688,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     23,                 1.4754,                 1.9505,                 1.5062,                0.35658,                0.37771,                0.33855,                0.20598,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     24,                 1.4259,                 1.9093,                 1.4716,                0.37389,                0.38988,                0.33486,                0.19955,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     25,                 1.4366,                 1.9108,                 1.4865,                0.40425,                0.39235,                0.35949,                0.21406,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     26,                 1.4345,                 1.9265,                 1.4884,                0.38662,                0.43628,                0.33955,                0.19574,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     27,                  1.411,                 1.8483,                   1.46,                0.41172,                0.39236,                0.34472,                0.20874,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     28,                 1.4167,                 1.8876,                  1.471,                0.44196,                0.36847,                0.35385,                 0.2125,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     29,                 1.4127,                  1.885,                 1.4775,                0.33617,                0.36796,                0.32864,                0.20027,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     30,                 1.4132,                 1.8675,                 1.4706,                0.36184,                0.41512,                0.32825,                0.18276,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     31,                 1.4081,                 1.8445,                 1.4756,                0.35968,                0.36932,                 0.3487,                0.20414,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     32,                  1.385,                   1.81,                 1.4569,                0.41473,                0.38942,                0.33464,                0.20481,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     33,                 1.4055,                 1.8616,                 1.4527,                 0.4107,                0.36979,                0.34293,                0.21784,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     34,                 1.3675,                  1.836,                 1.4561,                0.43654,                0.31393,                0.33433,                0.20957,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     35,                 1.3494,                 1.7555,                 1.4264,                0.33705,                0.40347,                0.35228,                0.21196,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     36,                 1.3467,                 1.7757,                 1.4142,                0.36973,                0.39739,                0.33768,                0.20981,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     37,                  1.344,                 1.7352,                 1.4208,                0.38084,                  0.438,                0.35917,                0.22357,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     38,                 1.3521,                 1.8322,                  1.429,                0.38235,                0.42307,                0.36412,                0.23391,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     39,                 1.3288,                 1.7294,                 1.4225,                 0.4426,                0.35882,                0.37314,                0.23202,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     40,                 1.3307,                 1.7381,                 1.4128,                0.52176,                0.39181,                0.38642,                0.23812,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     41,                 1.3119,                 1.6887,                 1.3971,                0.41462,                0.41036,                 0.3759,                0.23221,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     42,                 1.3219,                 1.7455,                 1.4129,                0.44708,                0.39638,                0.35631,                0.22004,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     43,                  1.305,                 1.6921,                 1.4075,                0.47652,                0.40822,                 0.3903,                0.24744,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     44,                 1.3281,                 1.7173,                 1.4115,                 0.3667,                0.39659,                0.35744,                0.22465,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     45,                  1.313,                 1.7025,                 1.4038,                0.50608,                0.37746,                0.38522,                0.25484,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     46,                  1.337,                 1.7175,                 1.4157,                0.44516,                 0.4417,                0.37403,                0.22439,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     47,                 1.3028,                 1.6832,                  1.397,                0.44073,                0.43061,                 0.3738,                0.22985,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     48,                 1.2965,                 1.6777,                 1.4048,                0.47917,                0.38758,                0.39318,                0.25424,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     49,                 1.2715,                 1.5994,                  1.371,                0.42921,                0.37276,                0.37165,                0.25209,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     50,                 1.2874,                 1.6392,                 1.3878,                 0.5056,                0.34121,                0.37308,                0.25127,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     51,                 1.2962,                 1.6229,                 1.3796,                0.51525,                0.35595,                0.38824,                0.25142,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     52,                 1.2694,                 1.6184,                 1.3771,                0.49883,                0.43839,                0.40185,                0.25222,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     53,                 1.2407,                 1.5796,                 1.3538,                0.46875,                0.43936,                0.41861,                 0.2576,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     54,                 1.2573,                  1.564,                 1.3536,                0.48224,                0.45459,                0.42982,                0.27104,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     55,                  1.239,                  1.563,                 1.3606,                0.51022,                0.42365,                0.41561,                 0.2568,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     56,                 1.2441,                 1.5494,                 1.3388,                  0.523,                0.39523,                 0.4005,                 0.2525,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     57,                 1.2529,                 1.5737,                  1.356,                0.42469,                0.41062,                0.37005,                0.23834,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     58,                 1.2462,                 1.5666,                 1.3537,                0.41677,                0.38124,                 0.3674,                0.23534,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                     59,                 1.2487,                 1.5519,                 1.3437,                0.44607,                0.37001,                 0.3872,                0.24414,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     60,                 1.2548,                 1.5637,                 1.3545,                0.40491,                0.42173,                0.37437,                 0.2427,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     61,                 1.2385,                 1.5285,                 1.3454,                0.37058,                0.40523,                 0.3664,                0.23173,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     62,                 1.2429,                 1.5066,                 1.3529,                 0.3979,                0.41152,                0.37751,                0.24001,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     63,                 1.2323,                 1.5679,                 1.3622,                0.44323,                0.42559,                0.36958,                0.23051,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     64,                 1.2135,                 1.4982,                 1.3342,                0.48213,                0.40056,                0.37814,                0.23256,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                     65,                 1.1942,                 1.4502,                 1.3158,                0.49652,                0.40992,                0.39257,                0.24386,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     66,                 1.2112,                 1.4748,                 1.3191,                0.46077,                0.43022,                0.39066,                0.25571,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     67,                 1.2013,                 1.4789,                  1.324,                0.49833,                0.40102,                0.38264,                0.24111,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     68,                   1.21,                 1.4881,                 1.3386,                  0.499,                0.39143,                0.38459,                0.24508,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                     69,                  1.198,                 1.4531,                 1.3252,                0.45386,                0.41077,                0.38021,                0.24581,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     70,                 1.2079,                 1.4426,                 1.3225,                0.46365,                0.41513,                0.38621,                0.23932,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                     71,                 1.1888,                 1.4173,                 1.3134,                0.46551,                0.42729,                0.38508,                0.23986,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     72,                  1.186,                 1.4299,                 1.3158,                0.47096,                0.39359,                0.38274,                0.23662,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                     73,                 1.1657,                 1.4188,                 1.3041,                0.51393,                0.38294,                0.38569,                0.24143,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     74,                 1.1842,                 1.4401,                 1.3167,                0.48944,                0.41132,                0.38519,                 0.2467,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                     75,                  1.168,                 1.3945,                 1.3083,                0.51063,                0.39951,                0.39507,                0.25203,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     76,                 1.1792,                   1.44,                 1.3135,                0.49087,                0.39456,                0.38517,                 0.2442,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     77,                 1.1524,                 1.3709,                 1.2803,                0.47811,                0.42935,                0.37367,                0.23999,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     78,                 1.1625,                  1.388,                 1.3052,                0.47421,                0.40262,                 0.3779,                 0.2395,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                     79,                 1.1465,                  1.374,                  1.288,                0.50382,                0.39006,                0.37594,                0.24138,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     80,                  1.189,                 1.4184,                 1.3183,                0.48117,                 0.4122,                0.37852,                0.23876,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                     81,                 1.1493,                 1.3579,                 1.2934,                0.44548,                0.40927,                0.38759,                0.24652,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     82,                 1.1596,                  1.382,                 1.2872,                0.45221,                 0.4239,                0.40318,                0.24952,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                     83,                 1.1587,                 1.3876,                 1.2879,                0.43228,                0.40166,                0.38361,                0.23435,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     84,                 1.1476,                 1.3454,                 1.2824,                0.44179,                 0.4031,                0.37798,                0.23799,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                     85,                  1.149,                 1.3437,                 1.2887,                 0.4764,                0.36455,                0.37061,                 0.2394,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     86,                 1.1443,                 1.3734,                 1.2888,                0.50188,                 0.3761,                0.37846,                 0.2449,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     87,                 1.1278,                 1.3539,                 1.2863,                0.45488,                0.40502,                0.37818,                0.24226,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                     88,                 1.1379,                 1.3352,                 1.2762,                0.49405,                0.37282,                0.36998,                0.23564,                    nan,                    nan,                    nan,               0.001387,               0.001387,               0.001387
                     89,                 1.1212,                 1.3012,                 1.2629,                0.48543,                0.36171,                0.36878,                0.23789,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     90,                 1.1434,                 1.3478,                 1.2796,                0.46909,                0.37685,                0.37722,                0.24523,                    nan,                    nan,                    nan,               0.001189,               0.001189,               0.001189
                     91,                 1.1166,                 1.2876,                 1.2615,                 0.4639,                0.39626,                0.37008,                0.24549,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     92,                 1.1253,                 1.3206,                 1.2747,                0.52556,                0.38578,                0.38224,                  0.248,                    nan,                    nan,                    nan,               0.000991,               0.000991,               0.000991
                     93,                 1.1088,                 1.2942,                 1.2624,                0.49893,                0.39388,                0.38181,                0.25109,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     94,                 1.1151,                 1.3303,                 1.2663,                0.56705,                0.36649,                0.38345,                0.24802,                    nan,                    nan,                    nan,               0.000793,               0.000793,               0.000793
                     95,                 1.0993,                 1.2775,                 1.2536,                0.49637,                0.39752,                 0.3868,                0.25246,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                     96,                 1.1136,                 1.3217,                 1.2621,                0.47395,                0.41111,                0.38737,                0.25047,                    nan,                    nan,                    nan,               0.000595,               0.000595,               0.000595
                     97,                  1.094,                 1.2814,                 1.2608,                0.47135,                0.41284,                0.38946,                0.25365,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
                     98,                 1.1029,                 1.3087,                 1.2524,                0.49529,                0.39542,                0.38902,                0.25497,                    nan,                    nan,                    nan,               0.000397,               0.000397,               0.000397
                     99,                 1.1117,                 1.3154,                 1.2645,                0.48089,                0.41427,                0.38943,                0.25683,                    nan,                    nan,                    nan,               0.000298,               0.000298,               0.000298
