                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8775,                 4.0771,                 1.8125,                0.01717,                 0.3163,                 0.0568,                0.02946,                    nan,                    nan,                    nan,               0.070129,               0.003319,               0.003319
                      1,                 1.8447,                 3.6298,                  1.767,                0.35144,                0.11552,                 0.0892,                0.05277,                    nan,                    nan,                    nan,               0.040063,              0.0065865,              0.0065865
                      2,                 1.8531,                 3.1793,                 1.7594,                 0.7366,                0.09697,                0.11286,                0.06637,                    nan,                    nan,                    nan,               0.009931,               0.009788,               0.009788
                      3,                 1.8278,                 2.9122,                 1.7753,                0.28603,                0.15975,                0.14874,                 0.0975,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      4,                 1.7799,                 2.7232,                 1.7356,                0.34005,                 0.2247,                0.21853,                0.13993,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.7517,                 2.6094,                 1.7432,                0.45334,                0.20938,                0.22675,                0.13751,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                 1.7197,                  2.504,                 1.7263,                0.36004,                0.31477,                0.27427,                0.15752,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                  1.728,                 2.4305,                 1.7088,                0.30265,                 0.3008,                0.26888,                0.16122,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                 1.7043,                 2.4099,                 1.7148,                0.28234,                0.31865,                 0.2741,                0.17099,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                  1.667,                 2.3082,                 1.6706,                0.26916,                0.35671,                0.28889,                0.17087,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                 1.6065,                 2.1983,                 1.6102,                0.33383,                0.38431,                0.30383,                0.17429,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                 1.6246,                 2.2007,                 1.6136,                0.35114,                0.35296,                0.27464,                0.16381,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                 1.6167,                 2.2275,                 1.6248,                0.31075,                0.35237,                0.29802,                0.16864,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                 1.5944,                 2.2109,                 1.6212,                 0.3522,                0.38584,                0.32464,                0.17986,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                 1.5609,                 2.1476,                 1.5895,                0.32725,                0.34182,                0.27612,                0.14916,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                 1.5809,                 2.1777,                 1.6141,                0.33533,                0.40598,                0.30974,                0.19818,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                 1.5459,                  2.083,                 1.5714,                0.37564,                0.38555,                 0.2953,                  0.183,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                 1.5176,                  2.079,                 1.5534,                 0.3412,                0.41583,                0.28824,                0.17766,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                 1.5023,                 2.0398,                 1.5454,                 0.3617,                0.32341,                 0.3094,                0.18643,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                 1.5082,                 2.0553,                 1.5499,                0.37208,                0.39143,                 0.3214,                 0.1964,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
