                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    nan,                    nan,                    nan,                0.01033,                 0.3102,                0.01343,                0.00657,                    nan,                    nan,                    nan,               0.070256,              0.0033048,              0.0033048
                      1,                    nan,                    nan,                    nan,                 0.0108,                0.31565,                0.01413,                0.00645,                    nan,                    nan,                    nan,               0.038942,              0.0053238,              0.0053238
                      2,                    nan,                    nan,                    nan,                0.01154,                0.31253,                0.01304,                0.00582,                    nan,                    nan,                    nan,              0.0063077,              0.0060228,              0.0060228
                      3,                    nan,                    nan,                    nan,                0.01131,                0.31712,                0.01484,                0.00627,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                      4,                    nan,                    nan,                    nan,                0.01023,                0.31854,                0.01167,                0.00521,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
